a,b
A man is cutting a sausage into smaller portions at a barbecue.,A man is cutting a sausage into small portions at a barbecue.
"An elderly woman, a younger woman, a young boy, and a black furred dog walking on a dirt road in a forest.","An elderly woman, a young woman, a young boy, and a black furred dog walking on a dirt road in a forest."
A dark-skinned boy talking to a smaller dark-skinned boy in the middle of a street in a rural area.,A dark-skinned boy talking to a small dark-skinned boy in the middle of a street in a rural area.
A teenager playing with a younger child.,A teenager playing with a young child.
A brothers teaches his younger sibling how to skate.,A brothers teaches his young sibling how to skate.
An older boy is helping his younger companion down the road.,An older boy is helping his young companion down the road.
The dirt pile is taller than the child.,The dirt pile is tall
The woman stands on the balcony to get a better look at the view.,The woman stands on the balcony to get a good look at the view.
Two women sit in a tree to get a better view of the musicians on stage.,Two women sit in a tree to get a good view of the musicians on stage.
two younger girls hold a bag,two young girls hold a bag
"Two tan dogs, one larger than the other, interact in a grassy yard enclosed by a wooded fence.","Two tan dogs, one large"
Two blond girls are posing with a snowman that is taller than them.,Two blond girls are posing with a snowman that is tall
"Man climbs crack in rock face at top left of frame, tree at lower right.","Man climbs crack in rock face at top left of frame, tree at low right."
"Woman climbs crack in rock face at top left of frame, tree at lower right.","Woman climbs crack in rock face at top left of frame, tree at low right."
"Man climbs crack in rock face at top left of frame, tree at lower right, water in center.","Man climbs crack in rock face at top left of frame, tree at low right, water in center."
"An old police car, a police motorcycle and a newer police car outside of the mobile command unit.","An old police car, a police motorcycle and a new police car outside of the mobile command unit."
An old police car and newer police car are outside.,An old police car and new police car are outside.
An old black police car and a newer police car are outside.,An old black police car and a new police car are outside.
A younger girl is hugging her older brother.,A young girl is hugging her older brother.
Cold ankle warmer for her head,Cold ankle warm for her head
A woman is cold and decided to buy a ankle warmer for herself,A woman is cold and decided to buy a ankle warm for herself
A woman is cold and decided to buy a ankle warmer,A woman is cold and decided to buy a ankle warm
"A woman on stage lit from behind standing in front of a microphone wearing a gray top and black pants with a red, white, and blue flag wrapped part way around the lower half of her body","A woman on stage lit from behind standing in front of a microphone wearing a gray top and black pants with a red, white, and blue flag wrapped part way around the low half of her body"
A pair of girls who are dressed for cooler weather are outside.,A pair of girls who are dressed for cool weather are outside.
The daughter was alot taller than the woman.,The daughter was alot tall
The ruler is larger than 12 inches.,The ruler is large
they are seeing who can jump higher in the air,they are seeing who can jump high in the air
Men in orange vest lower or raise another man into or out of the water.,Men in orange vest low or raise another man into or out of the water.
"A big dog touches his friend, a smaller dog.","A big dog touches his friend, a small dog."
A group of what appear to be Central American children play on a go-round in a larger playground on a sunny day.,A group of what appear to be Central American children play on a go-round in a large playground on a sunny day.
a man in a bright orange shirt and black jeans holds an ice cream cone out of a small vending cooler while other people stand around.,a man in a bright orange shirt and black jeans holds an ice cream cone out of a small vending cool while other people stand around.
The President no longer allows tourists so the townies are watching movies instead of selling maps.,The President no long allows tourists so the townies are watching movies instead of selling maps.
A smaller dog sniffs a larger dog in the hills.,A smaller dog sniffs a large dog in the hills.
A smaller dog is smelling a big dog.,A small dog is smelling a big dog.
A smaller dog sniffs a bigger dog outside.,A smaller dog sniffs a big dog outside.
A smaller dog eats alone.,A small dog eats alone.
The man is handing ice cream to the younger man.,The man is handing ice cream to the young man.
The children are younger than 18 years old.,The children are young
A girl about in her younger twenties with some friend at a table is sticking her tongue out at the camera.,A girl about in her young twenties with some friend at a table is sticking her tongue out at the camera.
A girl about in her younger twenties with her boyfriend at a table is sticking her tongue out at the camera.,A girl about in her young twenties with her boyfriend at a table is sticking her tongue out at the camera.
An older woman watches a younger woman play with a child.,An older woman watches a young woman play with a child.
"A chihuahua on a leash stands outside a door grate, behind which the lower legs, skirt, and hand of the person holding the leash can be seen.","A chihuahua on a leash stands outside a door grate, behind which the low legs, skirt, and hand of the person holding the leash can be seen."
The building is bigger than the spectators.,The building is big
younger men are learning to crochet,young men are learning to crochet
"Three older men are standing on the sidewalk leaning on a half brick wall, one of them is playing chess with a younger boy while the other two seem to be relaxing.","Three older men are standing on the sidewalk leaning on a half brick wall, one of them is playing chess with a young boy while the other two seem to be relaxing."
a younger man is pulling a boat,a young man is pulling a boat
the woman is no longer living.,the woman is no long living.
One child is running faster than another.,One child is running fast
The boys were fighting to see who would get the better belt.,The boys were fighting to see who would get the good belt.
The rock formation is several stories taller than the boy.,The rock formation is several stories tall
a younger woman is watching bowling,a young woman is watching bowling
The buildings are taller than 10 feet.,The buildings are tall
A younger man is cutting his facial hair.,A young man is cutting his facial hair.
The hard surface of the gym makes volleyball a quicker sport for the woman.,The hard surface of the gym makes volleyball a quick sport for the woman.
A girl holds a larger boy.,A girl holds a large boy.
"A young girl holds a younger boy, possibly her brother, surrounded by adults, in a public place.","A young girl holds a young boy, possibly her brother, surrounded by adults, in a public place."
A girl is holding her younger brother because they don't recognize anyone.,A girl is holding her young brother because they don't recognize anyone.
A girl and holds her younger brother while they wait for their parents.,A girl and holds her young brother while they wait for their parents.
A girl is holding a younger girl surrounded by children inside her home.,A girl is holding a young girl surrounded by children inside her home.
A man with three younger children look at a large painting.,A man with three young children look at a large painting.
A black and brown dog rests head on lower steps of stairs.,A black and brown dog rests head on low steps of stairs.
Adding aspirin to the water is better for overall plant health.,Adding aspirin to the water is good for overall plant health.
A large football player tackles a much smaller player.,A large football player tackles a much small player.
A man thought rope was faster than the elevator.,A man thought rope was fast
a lady talks to younger students,a lady talks to young students
Large brown dog is jumping over a smaller black dog.,Large brown dog is jumping over a small black dog.
Large dog is jumping over a smaller black dog.,Large dog is jumping over a small black dog.
Large brown cat is jumping over a smaller black cat.,Large brown cat is jumping over a small black cat.
A golden retriever is jumping over a smaller dog.,A golden retriever is jumping over a small dog.
A young man is squatting down to get a better look deep into the water.,A young man is squatting down to get a good look deep into the water.
"People changing into warmer clothes in snowy, cold weather near the water.","People changing into warm clothes in snowy, cold weather near the water."
Two men compete to see who is faster during soccer.,Two men compete to see who is fast during soccer.
People are climbing a tree to get a better view,People are climbing a tree to get a good view
Climbing to the top of the ski mountain to get a better view of the lake.,Climbing to the top of the ski mountain to get a good view of the lake.
There are people climbing a mountain to get a better view of the lake.,There are people climbing a mountain to get a good view of the lake.
Two younger women and an older man in a red sweatshirt are walking across a crosswalk in San Francisco.,Two young women and an older man in a red sweatshirt are walking across a crosswalk in San Francisco.
People relax together in a cooler area.,People relax together in a cool area.
Two younger people and an older gentleman are intently observing some sand.,Two young people and an older gentleman are intently observing some sand.
A woman is peering into a cooler of ice cream.,A woman is peering into a cool of ice cream.
a younger woman is baking,a young woman is baking
The sinking boat is lifted and winched up by a bigger ship.,The sinking boat is lifted and winched up by a big ship.
a younger man looks nervous,a young man looks nervous
A crowd of people breaking and then throwing their mangled cell phones into a burning pit to expression of their desire to return to a simpler time.,A crowd of people breaking and then throwing their mangled cell phones into a burning pit to expression of their desire to return to a simple time.
"Four sailing vessels at sea on a cloudy day, one smaller then the others and one other one much larger then the other three.","Four sailing vessels at sea on a cloudy day, one smaller then the others and one other one much large then the other three."
The stick is larger than the man,The stick is large
"On a grassy lawn, a man (seen only from the floral shorts-clad hips downward) stands by as a standing child with shoulder-length hair hands a beach ball to a younger seated child with curly hair; both children wear t-shirts and shorts.","On a grassy lawn, a man (seen only from the floral shorts-clad hips downward) stands by as a standing child with shoulder-length hair hands a beach ball to a young seated child with curly hair; both children wear t-shirts and shorts."
A middle-aged man with a backpack playfully pretends to box with younger child who does not look phased.,A middle-aged man with a backpack playfully pretends to box with young child who does not look phased.
An older woman is decorated in a much younger style.,An older woman is decorated in a much young style.
The infant is younger than 1 years old.,The infant is young
A balancing act on one wheel of a bicycle looks much easier than it probably really is!,A balancing act on one wheel of a bicycle looks much easy
a young boy jumping from a bunk bed on a smaller bed.,a young boy jumping from a bunk bed on a small bed.
a young person jumping from a bunk bed on a smaller bed.,a young person jumping from a bunk bed on a small bed.
a young girl jumping from a bunk bed on a smaller bed.,a young girl jumping from a bunk bed on a small bed.
a young sad boy jumping from a bunk bed on a smaller bed.,a young sad boy jumping from a bunk bed on a small bed.
He thinks of better days,He thinks of good days
A toddler is carrying his younger twin brother on his back.,A toddler is carrying his young twin brother on his back.
A larger woman is advertising for a weight loss solution.,A large woman is advertising for a weight loss solution.
Dogs are faster then police cars with hoses,Dogs are fast then police cars with hoses
A man is sitting at a desk covering his face while a younger boy stands in front of him.,A man is sitting at a desk covering his face while a young boy stands in front of him.
A man gets into a cooler because he's drunk.,A man gets into a cool because he's drunk.
A man gets into a cooler because he wants to take a nap.,A man gets into a cool because he wants to take a nap.
A boy is sitting on his mother's shoulders to get a better view.,A boy is sitting on his mother's shoulders to get a good view.
A man in a gray shirt and flip-flops is looking in his blue cooler at the items that are in the cooler.,A man in a gray shirt and flip-flops is looking in his blue cool at the items that are in the cooler.
The man is looking at the cooler for food.,The man is looking at the cool for food.
A man is unpacking a cooler filled with food.,A man is unpacking a cool filled with food.
A large dog sniffing a smaller dog outside.,A large dog sniffing a small dog outside.
A tourist leans on a fence to get a better glimpse of the beautiful landscape beyond the trees.,A tourist leans on a fence to get a good glimpse of the beautiful landscape beyond the trees.
A larger group of mostly asian people in a building with SpongeBob posters on pillars.,A large group of mostly asian people in a building with SpongeBob posters on pillars.
A younger woman stands with another woman at a vegetable stand in front of a white van.,A young woman stands with another woman at a vegetable stand in front of a white van.
"A younger girl holds up a yellow ""Free Car wash"" sign along the edge of a road.","A young girl holds up a yellow ""Free Car wash"" sign along the edge of a road."
An older man in a pink shirt shakes hands with a younger man in a black baseball cap.,An older man in a pink shirt shakes hands with a young man in a black baseball cap.
"Two adults, one a man and one a woman, in orange shirts, attempt to make a swimmer feel better by hugging her and talking to her.","Two adults, one a man and one a woman, in orange shirts, attempt to make a swimmer feel good by hugging her and talking to her."
The kid is faster than the others.,The kid is fast
"People sitting on a lower level of a walkway, while a different person is walking above them among the trees.","People sitting on a low level of a walkway, while a different person is walking above them among the trees."
"A group of five people are sitting on a sidewalk or courtyard while another man, on a higher level of ground, stands above them.","A group of five people are sitting on a sidewalk or courtyard while another man, on a high level of ground, stands above them."
The worker who is reaching into the cooler is a man.,The worker who is reaching into the cool is a man.
"A man in a long blue shirt and blue shorts leans against a green and white wall near a red car, with a larger blue vehicle sitting in the foreground.","A man in a long blue shirt and blue shorts leans against a green and white wall near a red car, with a large blue vehicle sitting in the foreground."
a younger man leaning against a wall,a young man leaning against a wall
a woman blow dries a younger girls hair while she looks out a window,a woman blow dries a young girls hair while she looks out a window
a woman blow dries a younger girls hair while she looks out a window at a busy city street,a woman blow dries a young girls hair while she looks out a window at a busy city street
a woman blow dries a younger girls hair.,a woman blow dries a young girls hair.
"Women can snowboard too, better the guy writing this caption.","Women can snowboard too, good the guy writing this caption."
Two sisters are sitting in recliners while their younger brother is in the street waving to the camera.,Two sisters are sitting in recliners while their young brother is in the street waving to the camera.
The dog is being chased by a larger dog.,The dog is being chased by a large dog.
A boy is helping his brother swing higher on a swing.,A boy is helping his brother swing high on a swing.
The little boy in the blue shirt was making the swing go faster and higher for the boy in the red shirt,The little boy in the blue shirt was making the swing go faster and high for the boy in the red shirt
A truck moving faster and faster.,A truck moving fast and faster.
A little girl is standing next to a snowman that is taller than her.,A little girl is standing next to a snowman that is tall
Cheesecake factory workers picket for higher wages.,Cheesecake factory workers picket for high wages.
A younger gentleman is pushing a football training device on a football field while a gentleman somewhat older stands on the device for added weight.,A young gentleman is pushing a football training device on a football field while a gentleman somewhat older stands on the device for added weight.
The older man is helping the younger man train for football.,The older man is helping the young man train for football.
The tech was welding metal on the canister to make it stronger,The tech was welding metal on the canister to make it strong
A man holds up a cell phone to get better reception,A man holds up a cell phone to get good reception
A white dog opens its mouth near a smaller dog.,A white dog opens its mouth near a small dog.
A man being conned by a smarter man.,A man being conned by a smart man.
An older man and younger man are shaking hands on a basketball court.,An older man and young man are shaking hands on a basketball court.
A younger man and an older man are shaking hands on a tennis court.,A young man and an older man are shaking hands on a tennis court.
"Older black man handing small blue object to group of younger black men, outdoors.","Older black man handing small blue object to group of young black men, outdoors."
The two men are trying to earn higher degree belts.,The two men are trying to earn high degree belts.
The person is making paper smaller,The person is making paper small
An old man in orange is holding a cane and looking at a younger male.,An old man in orange is holding a cane and looking at a young male.
Old man holding a cane looking at a younger man.,Old man holding a cane looking at a young man.
younger men play rugby,young men play rugby
One brother eats food that his younger brother hands him.,One brother eats food that his young brother hands him.
a younger woman is skating,a young woman is skating
"In a college basketball game, the two guys in white shirts are blocking a smaller boy in a blue shirt.","In a college basketball game, the two guys in white shirts are blocking a small boy in a blue shirt."
Two guys blocking smaller boy to throw him away.,Two guys blocking small boy to throw him away.
Four cyclists are part of a much bigger race.,Four cyclists are part of a much big race.
"The lonely cafe stood empty, having seen better days.","The lonely cafe stood empty, having seen good days."
"Three dogs are playing together, one of them, being bigger than the others, trampled over them to catch the ball for himself.","Three dogs are playing together, one of them, being big"
a young woman hugs a younger boy on a black leather couch,a young woman hugs a young boy on a black leather couch
a younger man is reading a book,a young man is reading a book
Sitting at a table with beer empty beer mugs on it one brother is has a birthday cake sliced with sprinkler lit up while the younger brother is smiling with his eyes closed.,Sitting at a table with beer empty beer mugs on it one brother is has a birthday cake sliced with sprinkler lit up while the young brother is smiling with his eyes closed.
It is the younger brother's birthday.,It is the young brother's birthday.
The younger brother is staring at the sun.,The young brother is staring at the sun.
Their prices are higher than most other record stores.,Their prices are high
A middle-aged man is taping up the knee of a younger football player who is sitting on a trainers table.,A middle-aged man is taping up the knee of a young football player who is sitting on a trainers table.
A black dog is chasing a smaller brown dog over grass.,A black dog is chasing a small brown dog over grass.
"Three Asian children are on a motorized bike, with a little girl driving and two younger boys riding in the back, going past a construction site.","Three Asian children are on a motorized bike, with a little girl driving and two young boys riding in the back, going past a construction site."
Two girls are using a flip chart whilst talking to some younger children.,Two girls are using a flip chart whilst talking to some young children.
A golden retriever is playing with a smaller black and brown dog in a pink collar.,A golden retriever is playing with a small black and brown dog in a pink collar.
A smaller black dog fighting with a larger brown dog in a forest.,A smaller black dog fighting with a large brown dog in a forest.
The smaller dog is jumping.,The small dog is jumping.
The child is younger than the women.,The child is young
"The men are part of a semi-famous coverband, touring the greater metro area trying to launch their new CD.","The men are part of a semi-famous coverband, touring the great metro area trying to launch their new CD."
The woman's hair is reaching down to her lower back.,The woman's hair is reaching down to her low back.
An elderly Amercian woman is fixing a younger girl's hair,An elderly Amercian woman is fixing a young girl's hair
"The woman is buying ice for the cooler out in her car, as she is on a long trip.","The woman is buying ice for the cool out in her car, as she is on a long trip."
a younger man is wakeboarding,a young man is wakeboarding
"Since he does not get to play, the bench warmer finds a way to entertain himself.","Since he does not get to play, the bench warm finds a way to entertain himself."
"To better understand the score by Violoncelli, someone is making notes on it.","To good understand the score by Violoncelli, someone is making notes on it."
The person has better use of their right hand.,The person has good use of their right hand.
A younger man is outside.,A young man is outside.
A man wearing a hat is standing next to a young boy wearing a black jacket and another smaller child wearing a yellow jacket.,A man wearing a hat is standing next to a young boy wearing a black jacket and another small child wearing a yellow jacket.
There is a man in a room who is better dressed than the other people in the room.,There is a man in a room who is good dressed
"A young boy in a yellow shirt is jumping in a grassy area with a younger boy, in a white shirt, standing behind him.","A young boy in a yellow shirt is jumping in a grassy area with a young boy, in a white shirt, standing behind him."
A guy wants to get on top of a rock in order to get a better view.,A guy wants to get on top of a rock in order to get a good view.
The younger person is winning.,The young person is winning.
A woman in a striped shirt and glasses is walking in the city in front of a younger woman with a pink hat and red blouse.,A woman in a striped shirt and glasses is walking in the city in front of a young woman with a pink hat and red blouse.
A breakdancer is showing off his moves for astonished younger boys.,A breakdancer is showing off his moves for astonished young boys.
A breakdancer is teaching the younger boys how to dance.,A breakdancer is teaching the young boys how to dance.
The man should be wearing brighter colors.,The man should be wearing bright colors.
A small boat is being pushed into deeper water.,A small boat is being pushed into deep water.
a younger man sitting near a tent,a young man sitting near a tent
"Two women, the younger one is looking down, the older is drinking.","Two women, the young one is looking down, the older is drinking."
The younger woman is reading a book.,The young woman is reading a book.
A young man in a brown shirt and cap has a blue and red cooler ready to go.,A young man in a brown shirt and cap has a blue and red cool ready to go.
A young man has a cooler filled with drinks for a day out at the beach.,A young man has a cool filled with drinks for a day out at the beach.
A cooler is full of beer.,A cool is full of beer.
A young woman in a brown shirt has a cooler ready to go.,A young woman in a brown shirt has a cool ready to go.
The man is shorter than the mules.,The man is short
"Two men, one younger than the other and wearing glasses, sit on the beach in shorts and read magazines.","Two men, one young"
A woman and her child wheeling a smaller child in a stroller on a brick path.,A woman and her child wheeling a small child in a stroller on a brick path.
A man on a bucking horse at a rodeo no longer has his hat.,A man on a bucking horse at a rodeo no long has his hat.
a younger woman giving a man a piece of paper,a young woman giving a man a piece of paper
An older women standing in front of an insurance company speaking to a younger man.,An older women standing in front of an insurance company speaking to a young man.
An older woman is walking away from and insurance company while speaking to a younger man.,An older woman is walking away from and insurance company while speaking to a young man.
A woman standing and speaking to a younger man.,A woman standing and speaking to a young man.
The box is larger than her head.,The box is large
Old man is reading about how the younger generation is ruining America.,Old man is reading about how the young generation is ruining America.
One man playing a red guitar and singing into a microphone has a larger man playing the drums behind him.,One man playing a red guitar and singing into a microphone has a large man playing the drums behind him.
a younger man dives for the bal,a young man dives for the bal
"A blue-eyed baby lays sideways against a larger Elmo toy on the floor, looking off-camera, in a room full of other toys.","A blue-eyed baby lays sideways against a large Elmo toy on the floor, looking off-camera, in a room full of other toys."
The horses are slower than the riders.,The horses are slow
Two soccer players are chasing two balls to see who is faster,Two soccer players are chasing two balls to see who is fast
"A young redheaded girl and a younger boy, both wearing galoshes and yellow rain suits, play in the dark sand at a beach.","A young redheaded girl and a young boy, both wearing galoshes and yellow rain suits, play in the dark sand at a beach."
"A child is looking through a fence, while holding a smaller child.","A child is looking through a fence, while holding a small child."
A child wished he didn't have to watch his younger sibling.,A child wished he didn't have to watch his young sibling.
A man talks to a younger audience in a lecture hall.,A man talks to a young audience in a lecture hall.
a biker in blue appears to be doing better than the other biker in a race,a biker in blue appears to be doing good
"Two men are talking, younger and older, while the wise old owl listens, in silence.","Two men are talking, young and older, while the wise old owl listens, in silence."
a girl plays soccer while a younger boy looks on.,a girl plays soccer while a young boy looks on.
The director is trying to get a better shot.,The director is trying to get a good shot.
The girl is higher than the ground.,The girl is high
"A boy about to jump off the edge of a roof while a younger boy watches him, or dares him to make that leap.","A boy about to jump off the edge of a roof while a young boy watches him, or dares him to make that leap."
two men playing music wish they had a bigger audience than a single person with a plastic cup,two men playing music wish they had a big audience
The boy is shorter than the car.,The boy is short
"Two young women walking, one tall, blond, model-like is in a zebra stripe outfit, the other shorter Asian in a white chemise.","Two young women walking, one tall, blond, model-like is in a zebra stripe outfit, the other short Asian in a white chemise."
A tan dog and larger white dog run along the grass.,A tan dog and large white dog run along the grass.
Man jumping from lower roof to higher roof.,Man jumping from lower roof to high roof.
The small baby in a yellow has the lower half of her body buried in sand.,The small baby in a yellow has the low half of her body buried in sand.
a younger man is holding a sign,a young man is holding a sign
The athlete jumps higher than she has ever jumped before,The athlete jumps high
A small white dog is carrying something blue in its mouth and a bigger brown and black dog is carrying something orange in its mouth.,A small white dog is carrying something blue in its mouth and a big brown and black dog is carrying something orange in its mouth.
a younger man is using a machine,a young man is using a machine
The surfer is no longer on his board.,The surfer is no long on his board.
A younger boy trying to shave while an older man in the background is watching him.,A young boy trying to shave while an older man in the background is watching him.
two younger women in skirts stand outside,two young women in skirts stand outside
"Several rock climbers are climbing a rock, not realizing that they are no longer attached to the line that the man in red is holding below.","Several rock climbers are climbing a rock, not realizing that they are no long attached to the line that the man in red is holding below."
The people are younger than age sixty.,The people are young
"Four younger girls in a hot tub, each in a corner, backing up to a large tree and grassy area.","Four young girls in a hot tub, each in a corner, backing up to a large tree and grassy area."
A younger person with clothes of many colors is being active in the water.,A young person with clothes of many colors is being active in the water.
A younger couple is standing in the street.,A young couple is standing in the street.
A younger gentleman with curly hair and glasses is sampling some good he is cooking on his stove.,A young gentleman with curly hair and glasses is sampling some good he is cooking on his stove.
a younger gentlemen was sampling what he was cooking,a young gentlemen was sampling what he was cooking
Most of these people are smaller than average.,Most of these people are small
A woman adjust the settings on a miscroscope to better see the samples she has placed down.,A woman adjust the settings on a miscroscope to good see the samples she has placed down.
A young boy in a blue shirt presses against the glass for a better look at desserts.,A young boy in a blue shirt presses against the glass for a good look at desserts.
The man is trying to get higher,The man is trying to get high
A younger looking man stands behind the counter of an Israeli shop that sells cigarettes and cashews.,A young looking man stands behind the counter of an Israeli shop that sells cigarettes and cashews.
A younger looking man with a blue shirt is standing behind the counter of an Israeli shop that sells cashews and cigarettes.,A young looking man with a blue shirt is standing behind the counter of an Israeli shop that sells cashews and cigarettes.
A younger man is working at the Israeli shop.,A young man is working at the Israeli shop.
A younger looking man is sitting at the table with two older men.,A young looking man is sitting at the table with two older men.
The man is losing terribly to his younger brother.,The man is losing terribly to his young brother.
A man gets a better vantage point by standing higher than the crowd.,A man gets a better vantage point by standing high
A man gets a better vantage point in order to see his target.,A man gets a good vantage point in order to see his target.
two younger men sit around a grill,two young men sit around a grill
a younger man riding a horse,a young man riding a horse
"A man in a black shirt and blue shorts stands in the doorway of a building labeled ""Gelateria,"" which is on the lower floor.","A man in a black shirt and blue shorts stands in the doorway of a building labeled ""Gelateria,"" which is on the low floor."
A man poses looking back while a younger girl fishes.,A man poses looking back while a young girl fishes.
The boy stacks the tires into a bigger pile.,The boy stacks the tires into a big pile.
People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him.,People on two balconies and a man climbing up a pipe towards the low balcony getting liquid poured on him.
The repetition of the shapes provide greater support to the station.,The repetition of the shapes provide great support to the station.
Metal is the cheaper and lighter material to use as support.,Metal is the cheap and lighter material to use as support.
The walls are stronger with metal supports rather than wood.,The walls are strong with metal supports rather than wood.
a younger woman looks across the room,a young woman looks across the room
A man carrying a baby crosses the street on a bike along side a younger kid.,A man carrying a baby crosses the street on a bike along side a young kid.
A man stands next to his younger sisters.,A man stands next to his young sisters.
A man holding his hand up to a few younger men.,A man holding his hand up to a few young men.
A man waving to some younger men.,A man waving to some young men.
"People travel on the escalator; some are going down to the lower level, while others are going up to the next level.","People travel on the escalator; some are going down to the low level, while others are going up to the next level."
"Two dogs, one bigger than the other, are playing tug-of-war.","Two dogs, one big"
"Two black dogs, one bigger than the other, are playing tug-of-war with a rope.","Two black dogs, one big"
A woman in a red sweater walks past two younger women who are chatting.,A woman in a red sweater walks past two young women who are chatting.
A woman in a red sweater walks by two younger women talking near a busy street.,A woman in a red sweater walks by two young women talking near a busy street.
A middle eastern man wearing black with a white turban laughs as a younger middle eastern man wearing brown and a green and teal turban works.,A middle eastern man wearing black with a white turban laughs as a young middle eastern man wearing brown and a green and teal turban works.
A younger boy is wearing a striped scarf and stocking cap.,A young boy is wearing a striped scarf and stocking cap.
A boy and his younger brother taking a stroll through a grassy and forested field.,A boy and his young brother taking a stroll through a grassy and forested field.
The bagel shop is no longer in business.,The bagel shop is no long in business.
A man jumps from a concrete slab to the surface below as someone on the lower level ignores him.,A man jumps from a concrete slab to the surface below as someone on the low level ignores him.
A younger swimmer is highlighted from the team.,A young swimmer is highlighted from the team.
The baby is younger than ten years old.,The baby is young
A smaller art festival on the edge of a forest,A small art festival on the edge of a forest
A woman day dreams about her younger days while she gazes out a window.,A woman day dreams about her young days while she gazes out a window.
"if the handle was a little bigger on the mug, people with large hands could easily hold it.","if the handle was a little big on the mug, people with large hands could easily hold it."
Group of younger women dressed in skirts and dresses gathered on a lawn by a tent and a building.,Group of young women dressed in skirts and dresses gathered on a lawn by a tent and a building.
The man is breaking chunks of wood into smaller pieces.,The man is breaking chunks of wood into small pieces.
A girl in blue dress sits down by a younger boy and points her hands towards the bus direction smiling,A girl in blue dress sits down by a young boy and points her hands towards the bus direction smiling
One older man in a game preserve is standing with ear protection on while a younger man not wearing ear protection holds a rifle.,One older man in a game preserve is standing with ear protection on while a young man not wearing ear protection holds a rifle.
The box is bigger than the boy,The box is big
The surfer is swimming out to deeper water.,The surfer is swimming out to deep water.
One of the men is a higher rank than the other.,One of the men is a high rank
A man is showing a younger girl how to scuba while tackling the waves.,A man is showing a young girl how to scuba while tackling the waves.
One wire is larger than the other.,One wire is large
One wire is bigger than the other.,One wire is big
The lake is bigger than a pond.,The lake is big
The girl is taller than the plants.,The girl is tall
Man with gray hair telling a story to a group of younger people on a bench.,Man with gray hair telling a story to a group of young people on a bench.
The man is older than the group of younger people,The man is older than the group of young people
A bunch of younger people are lying and sitting n blankets in the grass.,A bunch of young people are lying and sitting n blankets in the grass.
The younger people are outside on the grass.,The young people are outside on the grass.
The younger people are inside the house.,The young people are inside the house.
The younger people are having a picnic.,The young people are having a picnic.
A man is watching a younger man shave with an electric razor.,A man is watching a young man shave with an electric razor.
"A guy in a crazy looking balloon hat is placing a smaller balloon hat on young girl in a light blue sweatshirt, with an orange and white tent in the woods in the background.","A guy in a crazy looking balloon hat is placing a small balloon hat on young girl in a light blue sweatshirt, with an orange and white tent in the woods in the background."
An older gentleman and an elderly lady are talking to two younger ladies in uniform on an urban street.,An older gentleman and an elderly lady are talking to two young ladies in uniform on an urban street.
The lad is waiting for his mother to push his swing higher,The lad is waiting for his mother to push his swing high
a brown dog about to jump on a smaller black and tan dog,a brown dog about to jump on a small black and tan dog
A dog jumping on a smaller dog.,A dog jumping on a small dog.
The baby is smaller than the luggage.,The baby is small
The marketplace is experiencing a slower than usual weekend.,The marketplace is experiencing a slow
An animals jumps over a smaller animal.,An animals jumps over a small animal.
A younger person is in charge of others during a pastime.,A young person is in charge of others during a pastime.
A child trying to get a better view of the docks.,A child trying to get a good view of the docks.
the man feels that he will have a better idea of what his hat will look like from above.,the man feels that he will have a good idea of what his hat will look like from above.
Two smaller children playing with a soccer ball with a rocky background.,Two small children playing with a soccer ball with a rocky background.
The dog has something between its upper and lower teeth.,The dog has something between its upper and low teeth.
A woman with a small dog gazes at a man with a larger dog.,A woman with a small dog gazes at a man with a large dog.
The giant dog is pooping on the smaller dog.,The giant dog is pooping on the small dog.
This guy has his big weird dog while a smaller dog defecates.,This guy has his big weird dog while a small dog defecates.
The police man walks his big German Shepherd while the smaller dog squats.,The police man walks his big German Shepherd while the small dog squats.
The older man walks past a younger man.,The older man walks past a young man.
Some fruit is larger than others,Some fruit is large
two younger men are relaxing,two young men are relaxing
An older person with a younger person,An older person with a young person
Young girls have excellent balance due to lower center of gravity.,Young girls have excellent balance due to low center of gravity.
Young children watch as an older man and a younger man work on a girls bicycle.,Young children watch as an older man and a young man work on a girls bicycle.
An older man and younger boy walk by the opening of a tent in a rural area.,An older man and young boy walk by the opening of a tent in a rural area.
A big dog is biting a smaller dog on the leg,A big dog is biting a small dog on the leg
A big dog is trying to hurt a smaller dog.,A big dog is trying to hurt a small dog.
A boy in a green t-shirt and orange pants is using chalk to draw on the sidewalk as a younger boy in a yellow t-shirt looks on.,A boy in a green t-shirt and orange pants is using chalk to draw on the sidewalk as a young boy in a yellow t-shirt looks on.
"Four men stand on either side of a podium while three younger men holding plaques stand on podium boxes that are labeled 1, 2, and 3.","Four men stand on either side of a podium while three young men holding plaques stand on podium boxes that are labeled 1, 2, and 3."
One huge dog and one little dog are on a path with a tall man and shorter woman.,One huge dog and one little dog are on a path with a tall man and short woman.
A tree is no longer standing upright.,A tree is no long standing upright.
The black and tan dog is laying down with the smaller dog jumps over his back.,The black and tan dog is laying down with the small dog jumps over his back.
A group of mostly younger individuals hanging out in a hotel hot tub.,A group of mostly young individuals hanging out in a hotel hot tub.
A group of mostly younger individuals hanging out in a hotel hot tub happily.,A group of mostly young individuals hanging out in a hotel hot tub happily.
